sep=,
CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,SERIAL.battery2,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
6/11/2026,1:51:03.50 PM,0m 0.0s,0.0,32.7335769996517,35.0402789293033,0,0,0.3,1658,0,0,0,0,0,0,0,0,0,-0.5,0,60.2,60.2,,P-GPS,Auto Fly,,25,5,True,,Mini 4 Pro,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,44,44,False,False,False,False,False,False,,True,Card Too Slow,,,1024,1024,1024,1024,,False,False,False,False,False,0,False,False,False,False,90,8.09,2939,3291,8.09,True,4.046,4.046,,False,False,1.063,107.4,107.4,107.4,,,,,,,,,Idle,,,,,,9,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,32.7329010104334,35.0398330496645,282.0,1710.3,656.1,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,110,,,,,Calm,False,False,,1.13.10,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,345.9,1.7,16.4,18.285642,4.250186,0,24195,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,DJI Fly,,1.13.10,D1DEE6F5-D33D-F456-DD0E-BCB9DE88D875,1581F6Z9C239E0037R3J,6TVFL8Q0M2X1GK,,6UZBL9J021036E,5LRXL9FDG1010E,,,,,Data Recorder File Index is 110.; Set Return to Home (RTH) altitude to 100 m (328 ft).; Set maximum flight altitude to 200 m (656 ft).; Flight mode changed to P-GPS.,
6/11/2026,1:51:03.61 PM,0m 0.1s,0.1,32.7335769974583,35.040278936881,0,0,0.3,1658,0,0,0,0,0,0,0,0,0,-0.5,0,60.2,60.2,,Starting Motors,Auto Fly,,25,5,True,,Mini 4 Pro,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,44,44,False,False,False,False,False,False,,True,Card Too Slow,,,1024,1024,1024,1024,,False,False,False,False,False,0,False,False,False,False,90,8.09,2939,3291,8.09,True,4.046,4.046,,False,False,1.063,107.4,107.4,107.4,,,,,,,,,Idle,,,,,,9,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,32.7329010104334,35.0398330496645,282.0,1710.3,656.1,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,110,,,,,Calm,False,False,,1.13.10,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,345.9,1.7,16.4,18.285642,4.250186,0,24195,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,DJI Fly,,1.13.10,D1DEE6F5-D33D-F456-DD0E-BCB9DE88D875,1581F6Z9C239E0037R3J,6TVFL8Q0M2X1GK,,6UZBL9J021036E,5LRXL9FDG1010E,,,,,Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059).; Flight mode changed to Starting Motors.,Possible gimbal attitude error. Go to Settings to calibrate gimbal (Code: 40027).; SD card speed low. Normal use may be affected. Replace SD card (Code: 1C000402).
6/11/2026,1:51:03.71 PM,0m 0.2s,0.2,32.7335770132915,35.0402789546031,0,0,0.3,1658,0,0,0,0,0,0,0,0,0,-0.5,0,60.3,60.3,,Starting Motors,Auto Fly,,25,5,True,,Mini 4 Pro,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,44,44,False,False,False,False,False,False,,True,Card Too Slow,,,1024,1024,1024,1024,,False,False,False,False,False,0,False,False,False,False,90,8.091,2939,3291,8.091,False,4.052,4.04,0.012,False,False,1.063,107.4,107.4,107.4,,,,,,,,,Idle,,,,,,9,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,32.7329010104334,35.0398330496645,282.0,1710.3,656.1,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,110,,,,,Calm,False,False,,1.13.10,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,345.9,1.7,16.4,18.285642,4.250186,0,24195,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,DJI Fly,,1.13.10,D1DEE6F5-D33D-F456-DD0E-BCB9DE88D875,1581F6Z9C239E0037R3J,6TVFL8Q0M2X1GK,,6UZBL9J021036E,5LRXL9FDG1010E,,,,,,
6/11/2026,1:51:03.81 PM,0m 0.3s,0.3,32.7335770058204,35.0402789790474,0,0,0.3,1658,0,0,0,0,0,0,0,0,0,-0.5,0,60,60,,Starting Motors,Auto Fly,,25,5,True,,Mini 4 Pro,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,44,44,False,False,False,False,False,False,,True,Card Too Slow,,,1024,1024,1024,1024,,False,False,False,False,False,0,False,False,False,False,90,8.091,2939,3291,8.091,False,4.052,4.04,0.012,False,False,1.063,107.4,107.4,107.4,,,,,,,,,Idle,,,,,,9,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,32.7329010104334,35.0398330496645,282.0,1710.3,656.1,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,110,,,,,Calm,False,False,,1.13.10,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,345.9,1.7,16.4,18.285642,4.250186,0,24195,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,DJI Fly,,1.13.10,D1DEE6F5-D33D-F456-DD0E-BCB9DE88D875,1581F6Z9C239E0037R3J,6TVFL8Q0M2X1GK,,6UZBL9J021036E,5LRXL9FDG1010E,,,,,,
6/11/2026,1:51:03.91 PM,0m 0.4s,0.4,32.7335769872456,35.0402790141656,0,0,0.3,1658,0,0,0,0,0,0,0,0,0,-0.6,0,60.2,60.2,,Starting Motors,Auto Fly,,25,5,True,,Mini 4 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,44,44,False,False,False,False,False,False,,True,Card Too Slow,,,1024,1024,1024,1024,,False,False,False,False,False,0,False,False,False,False,90,8.091,2939,3291,8.091,False,4.052,4.04,0.012,False,False,1.063,107.4,107.4,107.4,,,,,,,,,Idle,,,,,,9,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,32.7329010104334,35.0398330496645,282.0,1710.3,656.1,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,110,,,,,Calm,False,False,,1.13.10,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,345.9,1.7,16.4,18.285642,4.250186,0,24195,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,DJI Fly,,1.13.10,D1DEE6F5-D33D-F456-DD0E-BCB9DE88D875,1581F6Z9C239E0037R3J,6TVFL8Q0M2X1GK,,6UZBL9J021036E,5LRXL9FDG1010E,,,,,,
6/11/2026,1:51:04.01 PM,0m 0.5s,0.5,32.7335769634616,35.0402790474913,0,0,0.3,1658,0,0,0,0,0,0,0,0,0,-0.6,0,60.1,60.1,,Starting Motors,Auto Fly,,25,5,True,,Mini 4 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,44,44,False,False,False,False,False,False,,True,Card Too Slow,,,1024,1024,1024,1024,,False,False,False,False,False,0,False,False,False,False,90,8.091,2938,3291,8.091,False,4.052,4.04,0.012,False,False,1.129,107.6,107.4,107.6,,,,,,,,,Idle,,,,,,9,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,32.7329010104334,35.0398330496645,282.0,1710.3,656.1,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,110,,,,,Calm,False,False,,1.13.10,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,345.9,1.7,16.4,18.285642,4.250186,0,24195,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,DJI Fly,,1.13.10,D1DEE6F5-D33D-F456-DD0E-BCB9DE88D875,1581F6Z9C239E0037R3J,6TVFL8Q0M2X1GK,,6UZBL9J021036E,5LRXL9FDG1010E,,,,,,
6/11/2026,1:51:04.11 PM,0m 0.6s,0.6,32.7335769790892,35.0402790222322,0,0,0.3,1658,0,0,0,0,0,0,0,0,0,-0.6,0,60.3,60.3,,Starting Motors,Auto Fly,,25,5,True,,Mini 4 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,44,44,False,False,False,False,False,False,,True,Card Too Slow,,,1024,1024,1024,1024,,False,False,False,False,False,0,False,False,False,False,90,8.091,2938,3291,8.091,False,4.052,4.04,0.012,False,False,1.129,107.6,107.4,107.6,,,,,,,,,Idle,,,,,,9,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,32.7329010104334,35.0398330496645,282.0,1710.3,656.1,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,110,,,,,Calm,False,False,,1.13.10,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,345.9,1.7,16.4,18.285642,4.250186,0,24195,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,DJI Fly,,1.13.10,D1DEE6F5-D33D-F456-DD0E-BCB9DE88D875,1581F6Z9C239E0037R3J,6TVFL8Q0M2X1GK,,6UZBL9J021036E,5LRXL9FDG1010E,,,,,,
6/11/2026,1:51:04.21 PM,0m 0.7s,0.7,32.7335769342629,35.0402790424395,0,0,0.3,1658,0,0,0,0,0,0,0,0,0,-0.6,0,60.2,60.2,,Starting Motors,Auto Fly,,25,5,True,,Mini 4 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,44,44,False,False,False,False,False,False,,True,Card Too Slow,100,,1024,1024,1024,1024,,False,False,False,False,False,0,False,False,False,False,90,8.091,2938,3291,8.091,False,4.052,4.04,0.012,False,False,1.129,107.6,107.4,107.6,,,,,,,,,Idle,,,,,,9,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,32.7329010104334,35.0398330496645,282.0,1710.3,656.1,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,110,,,,,Calm,False,False,,1.13.10,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,345.9,1.7,16.4,18.285642,4.250186,0,24195,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,DJI Fly,,1.13.10,D1DEE6F5-D33D-F456-DD0E-BCB9DE88D875,1581F6Z9C239E0037R3J,6TVFL8Q0M2X1GK,,6UZBL9J021036E,5LRXL9FDG1010E,,,,,,
6/11/2026,1:51:04.31 PM,0m 0.8s,0.8,32.7335770119206,35.0402790449246,0,0,0.3,1658,0,0,0,0,0,0,0,0,0,-0.6,0,60.3,60.3,,Starting Motors,Auto Fly,,25,5,True,,Mini 4 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,44,44,False,False,False,False,False,False,,True,Card Too Slow,100,100,1024,1024,1024,1024,,False,False,False,False,False,0,False,False,False,False,90,8.091,2938,3291,8.091,False,4.052,4.04,0.012,False,False,1.129,107.6,107.4,107.6,,,,,,,,,Idle,,,,,,9,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,32.7329010104334,35.0398330496645,282.0,1710.3,656.1,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,110,,,,,Calm,False,False,,1.13.10,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,345.9,1.7,16.4,18.285642,4.250186,0,24195,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,DJI Fly,,1.13.10,D1DEE6F5-D33D-F456-DD0E-BCB9DE88D875,1581F6Z9C239E0037R3J,6TVFL8Q0M2X1GK,,6UZBL9J021036E,5LRXL9FDG1010E,,,,,,
6/11/2026,1:51:04.41 PM,0m 0.9s,0.9,32.7335770252863,35.0402790667615,0,0,0.3,1658,0.1,0,0,0,0,0,0,0,0,-0.6,0,60.2,60.2,,Starting Motors,Auto Fly,,25,5,True,,Mini 4 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,44,44,False,False,False,False,False,False,,True,Card Too Slow,100,100,1024,1024,1024,1024,,False,False,False,False,False,0,False,False,False,False,90,8.091,2938,3291,8.091,False,4.052,4.04,0.012,False,False,1.129,107.6,107.4,107.6,,,,,,,,,Idle,,,,,,9,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,32.7329010104334,35.0398330496645,282.0,1710.3,656.1,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,110,,,,,Calm,False,False,,1.13.10,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,345.9,1.7,16.4,18.285642,4.250186,0,24195,DJI Mini 4 Pro,1581F6Z9C239E003,6TVFL8Q0M2X1GK,6UZBL9J021036E,5LRXL9FDG1010E,DJI Fly,,1.13.10,D1DEE6F5-D33D-F456-DD0E-BCB9DE88D875,1581F6Z9C239E0037R3J,6TVFL8Q0M2X1GK,,6UZBL9J021036E,5LRXL9FDG1010E,,,,,,
